avgRGB,area,perimeter,no_of_edges,label
172.0,2455.5,191,10,Pear
172.0,2469.0,193,11,Pear
171.0,2470.0,192,11,Pear
171.0,2449.0,191,11,Pear
170.0,2514.0,192,10,Pear
177.0,2222.5,187,13,Pear
169.0,2508.5,193,12,Pear
170.0,2444.0,193,10,Pear
171.0,2435.5,192,11,Pear
177.0,2222.0,190,15,Pear
168.0,2466.5,192,12,Pear
170.0,2413.0,190,11,Pear
170.0,2408.5,191,11,Pear
170.0,2407.0,192,11,Pear
170.0,2395.5,192,11,Pear
169.0,2389.5,191,11,Pear
169.0,2386.0,190,11,Pear
173.0,2238.0,190,10,Pear
177.0,2223.0,188,14,Pear
169.0,2351.5,190,12,Pear
173.0,2230.5,188,9,Pear
181.0,2006.5,191,12,Pear
181.0,2018.0,191,13,Pear
182.0,2025.5,192,15,Pear
182.0,2043.0,189,13,Pear
182.0,2047.0,188,14,Pear
180.0,2118.0,192,13,Pear
150.0,2745.5,200,11,Pear
151.0,2729.5,198,11,Pear
175.0,2295.5,193,14,Pear
175.0,2306.0,192,13,Pear
175.0,2312.5,192,15,Pear
174.0,2331.5,190,11,Pear
173.0,2330.0,187,12,Pear
172.0,2335.5,186,10,Pear
172.0,2342.0,185,10,Pear
172.0,2344.5,186,11,Pear
171.0,2345.0,185,12,Pear
146.0,2867.5,204,13,Pear
176.0,2242.0,192,13,Pear
167.0,2389.5,190,12,Pear
166.0,2382.5,189,10,Pear
166.0,2366.5,189,10,Pear
163.0,2409.0,191,12,Pear
169.0,2308.5,191,13,Pear
165.0,2345.0,192,13,Pear
145.0,2922.0,204,14,Pear
164.0,2315.5,189,13,Pear
175.0,2287.0,192,11,Pear
154.0,2528.0,193,12,Pear
145.0,2709.5,196,14,Pear
145.0,2910.0,203,12,Pear
142.0,2772.5,198,11,Pear
136.0,2858.0,203,13,Pear
143.0,3002.0,206,14,Pear
159.0,2508.0,192,11,Pear
133.0,2930.0,204,14,Pear
129.0,2988.0,207,12,Pear
125.0,3081.0,209,14,Pear
143.0,2984.0,207,10,Pear
129.0,2983.0,207,13,Pear
130.0,2994.0,207,12,Pear
144.0,2974.0,205,11,Pear
176.0,2245.5,187,12,Pear
129.0,3104.5,208,15,Pear
134.0,2996.5,206,16,Pear
131.0,3114.0,209,13,Pear
131.0,3108.0,209,15,Pear
136.0,3019.0,207,11,Pear
154.0,2602.0,200,13,Pear
177.0,2084.5,195,15,Pear
181.0,1987.5,196,14,Pear
185.0,1902.5,192,14,Pear
189.0,1812.0,191,13,Pear
190.0,1774.0,188,12,Pear
188.0,1872.5,191,14,Pear
188.0,1927.0,189,14,Pear
188.0,1936.0,188,14,Pear
176.0,2240.5,189,13,Pear
186.0,1992.5,186,12,Pear
143.0,3027.5,207,12,Pear
185.0,2045.5,186,12,Pear
184.0,2054.0,188,13,Pear
182.0,2117.0,186,12,Pear
181.0,2133.5,187,13,Pear
180.0,2162.5,188,13,Pear
170.0,2304.5,192,12,Pear
176.0,2229.5,188,14,Pear
175.0,2236.5,189,13,Pear
175.0,2245.0,188,13,Pear
176.0,2242.0,190,15,Pear
174.0,2246.5,187,10,Pear
174.0,2249.0,189,12,Pear
173.0,2258.0,188,9,Pear
144.0,3016.0,207,12,Pear
171.0,2313.5,189,11,Pear
176.0,2244.5,188,15,Pear
170.0,2311.0,190,10,Pear
170.0,2308.5,189,12,Pear
170.0,2298.5,190,10,Pear
169.0,2287.0,190,9,Pear
144.0,3006.0,207,12,Pear
167.0,2343.0,189,12,Pear
167.0,2335.5,190,11,Pear
141.0,3081.0,209,12,Pear
176.0,2250.0,188,14,Pear
167.0,2289.5,190,11,Pear
168.0,2247.0,189,14,Pear
176.0,2249.5,188,13,Pear
166.0,2292.0,190,12,Pear
177.0,2197.5,188,13,Pear
176.0,2248.5,187,15,Pear
176.0,2240.0,185,14,Pear
176.0,2246.5,190,16,Pear
176.0,2244.5,184,15,Pear
176.0,2253.5,191,14,Pear
178.0,2203.0,189,13,Pear
177.0,2248.0,187,16,Pear
170.0,2300.0,191,13,Pear
178.0,2201.5,187,14,Pear
178.0,2257.5,187,14,Pear
170.0,2292.5,192,12,Pear
178.0,2200.5,187,15,Pear
178.0,2271.0,187,14,Pear
178.0,2273.5,186,14,Pear
178.0,2279.5,186,12,Pear
179.0,2285.5,187,11,Pear
144.0,1971.0,175,11,Avocado
145.0,1972.0,174,11,Avocado
145.0,1970.0,174,12,Avocado
146.0,1969.0,175,13,Avocado
146.0,2058.0,176,11,Avocado
147.0,1957.0,174,12,Avocado
147.0,1956.0,174,12,Avocado
139.0,2106.5,177,11,Avocado
143.0,2083.0,177,12,Avocado
150.0,1939.0,174,13,Avocado
150.0,1930.0,173,12,Avocado
151.0,1937.5,173,13,Avocado
151.0,1936.5,173,12,Avocado
151.0,1935.5,173,12,Avocado
151.0,1941.5,173,12,Avocado
143.0,2088.0,177,11,Avocado
152.0,1946.0,172,12,Avocado
152.0,1945.0,172,11,Avocado
152.0,1944.5,173,12,Avocado
152.0,1945.0,172,12,Avocado
142.0,2090.5,178,11,Avocado
142.0,2093.5,178,12,Avocado
141.0,2095.5,178,10,Avocado
143.0,2064.0,176,10,Avocado
143.0,2062.0,176,10,Avocado
96.0,2795.5,199,13,Avocado
147.0,2063.5,182,12,Avocado
144.0,2092.5,182,11,Avocado
141.0,2134.5,186,12,Avocado
141.0,2116.5,185,12,Avocado
118.0,2433.5,196,12,Avocado
112.0,2515.5,200,12,Avocado
109.0,2546.0,200,13,Avocado
103.0,2626.5,203,13,Avocado
138.0,2088.0,177,12,Avocado
97.0,2773.5,208,12,Avocado
87.0,3051.0,208,13,Avocado
90.0,2882.5,211,14,Avocado
93.0,2823.5,210,13,Avocado
94.0,2814.0,210,13,Avocado
138.0,2101.0,178,11,Avocado
103.0,2746.5,206,13,Avocado
103.0,2790.5,205,15,Avocado
99.0,2883.5,209,13,Avocado
138.0,2087.0,179,13,Avocado
90.0,2998.5,205,10,Avocado
99.0,2897.5,208,13,Avocado
104.0,2804.5,207,14,Avocado
138.0,2084.0,179,13,Avocado
104.0,2787.5,203,12,Avocado
91.0,2987.5,204,12,Avocado
110.0,2667.0,199,13,Avocado
113.0,2598.0,197,13,Avocado
115.0,2566.5,198,12,Avocado
122.0,2470.0,195,13,Avocado
125.0,2375.0,191,14,Avocado
92.0,2982.0,205,11,Avocado
130.0,2304.5,189,12,Avocado
131.0,2273.5,186,12,Avocado
145.0,2069.0,177,12,Avocado
134.0,2205.0,183,14,Avocado
137.0,2154.5,181,11,Avocado
135.0,2177.0,182,11,Avocado
136.0,2117.0,183,11,Avocado
99.0,2861.5,202,13,Avocado
133.0,2161.0,183,12,Avocado
131.0,2188.0,181,12,Avocado
125.0,2286.0,185,12,Avocado
139.0,2075.0,177,13,Avocado
125.0,2276.5,185,11,Avocado
125.0,2286.0,182,12,Avocado
115.0,2449.0,188,14,Avocado
100.0,2868.5,201,12,Avocado
108.0,2581.0,195,13,Avocado
140.0,2089.0,177,12,Avocado
100.0,2718.0,197,11,Avocado
94.0,2857.5,201,12,Avocado
81.0,3111.0,210,12,Avocado
88.0,3001.5,206,10,Avocado
85.0,3052.0,208,12,Avocado
139.0,2063.0,178,11,Avocado
139.0,2059.0,178,13,Avocado
139.0,2055.5,177,14,Avocado
139.0,2055.0,177,13,Avocado
139.0,2051.5,177,12,Avocado
145.0,2073.0,178,11,Avocado
139.0,2025.5,175,11,Avocado
139.0,2024.5,175,11,Avocado
140.0,2007.5,175,12,Avocado
142.0,1982.5,175,12,Avocado
139.0,2102.0,178,11,Avocado
144.0,1972.0,174,13,Avocado
139.0,2728.0,196,13,Mango
140.0,2696.0,197,12,Mango
143.0,2529.5,192,12,Mango
144.0,2601.0,193,12,Mango
145.0,2559.5,191,12,Mango
146.0,2521.0,191,12,Mango
141.0,2576.0,194,11,Mango
145.0,2538.0,191,13,Mango
145.0,2531.5,192,14,Mango
141.0,2580.0,194,11,Mango
147.0,2455.5,188,12,Mango
150.0,2425.5,192,12,Mango
148.0,2431.5,188,13,Mango
145.0,2487.0,192,13,Mango
145.0,2468.5,191,11,Mango
145.0,2470.0,191,13,Mango
141.0,2565.0,194,11,Mango
152.0,2369.0,189,14,Mango
141.0,2552.0,195,11,Mango
142.0,2546.5,195,11,Mango
143.0,2552.5,200,14,Mango
152.0,2376.5,191,12,Mango
144.0,2545.0,200,12,Mango
152.0,2377.5,190,13,Mango
145.0,2530.0,199,14,Mango
145.0,2520.5,200,14,Mango
145.0,2520.5,200,13,Mango
149.0,2435.5,200,17,Mango
148.0,2451.5,198,16,Mango
144.0,2555.0,197,14,Mango
133.0,2769.0,204,13,Mango
142.0,2614.0,200,14,Mango
134.0,2756.0,204,14,Mango
142.0,2628.0,197,14,Mango
134.0,2743.5,204,14,Mango
137.0,2786.5,203,14,Mango
142.0,2547.0,193,12,Mango
141.0,2717.0,203,15,Mango
141.0,2711.0,202,15,Mango
142.0,2709.0,201,15,Mango
142.0,2707.0,201,15,Mango
142.0,2706.5,201,15,Mango
151.0,2352.0,189,12,Mango
141.0,2777.0,203,14,Mango
138.0,2842.0,206,15,Mango
139.0,2835.5,204,16,Mango
139.0,2826.5,204,13,Mango
140.0,2822.5,204,13,Mango
140.0,2818.5,204,12,Mango
138.0,2861.5,201,12,Mango
140.0,2787.5,200,12,Mango
135.0,2863.0,202,12,Mango
134.0,2866.5,201,11,Mango
138.0,2680.0,197,12,Mango
129.0,2844.5,206,14,Mango
149.0,2493.0,193,13,Mango
150.0,2482.5,192,13,Mango
146.0,2562.5,195,12,Mango
146.0,2552.5,194,12,Mango
143.0,2585.0,195,15,Mango
149.0,2435.0,197,15,Mango
138.0,2709.0,199,11,Mango
139.0,2685.0,198,11,Mango
134.0,2769.5,204,14,Mango
129.0,2858.0,205,11,Mango
138.0,2645.5,200,14,Mango
140.0,2592.0,200,14,Mango
142.0,2555.5,198,14,Mango
145.0,2492.0,194,14,Mango
148.0,2442.5,194,14,Mango
147.0,2461.0,194,13,Mango
144.0,2477.0,193,14,Mango
149.0,2437.0,193,13,Mango
152.0,2389.5,192,15,Mango
135.0,2736.5,204,15,Mango
143.0,2483.5,192,12,Mango
135.0,2730.5,203,13,Mango
149.0,2424.0,193,14,Mango
141.0,2518.0,193,11,Mango
140.0,2553.0,193,11,Mango
140.0,2549.5,195,11,Mango
149.0,2434.0,191,14,Mango
137.0,2604.5,194,12,Mango
138.0,2594.5,193,12,Mango
143.0,2540.0,194,13,Mango
137.0,2622.0,195,12,Mango
137.0,2642.0,196,11,Mango
149.0,2443.5,193,15,Mango
137.0,2691.5,197,11,Mango
143.0,2537.5,193,12,Mango
137.0,2720.5,198,14,Mango
137.0,2729.5,198,12,Mango
138.0,2734.0,197,13,Mango
